Family    ,Page                              ,Name                                                                 ,Returned                          ,Description
Challenges,Joke Products III                 ,Canary Creme                                                         ,Elsie Barrett                     ,"Canary Cremes are a joke product sold at Weasleys' Wizard Wheezes. Appearing like a standard custard cream, when eaten they transfigure the earter into a canary. With a few moments the victim molts their feathers and returns to normal."
Challenges,Joke Products III                 ,Portable Swamp                                                       ,Zeph Salvage                      ,"Skiving Snackboxes are sweets developed by the Weasley Twins that are designed to make the user appear sick. Ostensibly useful for avoiding responsibilities like work or class, they come with a second treat that supples the antidote to the symptoms."
Challenges,Joke Products III                 ,Skiving Snackbox                                                     ,Corridor Outside Umbridge's Office,"The Portable Swamp was used in the hallway on the way to the office of High Inquisitor Delores Umbridge. Left by Fred and George Weasley on the day they quit school, it caused a great deal of inconvenience for the detested Headmistress."
Challenges,Magical Devices I                 ,Ministry Time-Turner                                                 ,                                  ,
Challenges,Magical Devices I                 ,Moody's Sneakoscope                                                  ,                                  ,
Challenges,Magical Devices I                 ,Probity Probe                                                        ,                                  ,
Challenges,Magical Devices I                 ,Skeeter's Quick-Quotes Quill                                         ,Rita Skeeter                      ,"The Quick-Quotes Quill is a favourite of journalist Rita Skeeter, reporter for the Daily Prophet. The quill writes automatically as subjects speak, but it tends to modify subject's words. Skeeter's journalistic application of the quill is controversial."
Challenges,Magical Devices II                ,Deluminator                                                          ,                                  ,
Challenges,Magical Devices II                ,Harry/Sirius Two Way Mirror                                          ,                                  ,
Challenges,Magical Devices II                ,Secrecy Sensor                                                       ,                                  ,
Challenges,Magical Devices II                ,Spectrespecs                                                         ,                                  ,
Challenges,Symbols of the Wizarding World I  ,Dark Mark                                                            ,                                  ,
Challenges,Symbols of the Wizarding World I  ,Deathly Hallows                                                      ,                                  ,
Challenges,Symbols of the Wizarding World I  ,MACUSA Crest                                                         ,                                  ,
Challenges,Symbols of the Wizarding World I  ,Ministry Crest                                                       ,                                  ,
Challenges,Symbols of the Wizarding World II ,Gryffindor Crest                                                     ,                                  ,
Challenges,Symbols of the Wizarding World II ,Hogwarts Crest                                                       ,                                  ,
Challenges,Symbols of the Wizarding World II ,Hufflepuff Crest                                                     ,                                  ,
Challenges,Symbols of the Wizarding World II ,Ravenclaw Crest                                                      ,Ravenclaw Common Room             ,"The legendary Rowena Ravenclaw founded Ravenclaw House. The Raven is the symbolic animal of her house, whose colours are blue and silver. Ravenclaw students are known for their wit, creativity, and wisdom."
Challenges,Symbols of the Wizarding World II ,Slytherin Crest                                                      ,                                  ,
Challenges,Symbols of the Wizarding World III,Department for the Regulation and Control of Magical Creatures Emblem,                                  ,
Challenges,Symbols of the Wizarding World III,Department of International Magical Cooperation Emblem               ,                                  ,
Challenges,Symbols of the Wizarding World III,Department of Magical Accidents and Catastrophes Emblem              ,                                  ,
Challenges,Symbols of the Wizarding World III,Department of Magical Law Enforcement Emblem                         ,                                  ,
Challenges,Symbols of the Wizarding World III,Department of Magical Transportation Emblem                          ,                                  ,
Challenges,Wands of Dumbledore's Army I      ,Cho Chang's Wand                                                     ,                                  ,
Challenges,Wands of Dumbledore's Army I      ,Ginny Weasley's Wand                                                 ,                                  ,
Challenges,Wands of Dumbledore's Army I      ,Harry Potter's Wand                                                  ,                                  ,
Challenges,Wands of Dumbledore's Army I      ,Ron Weasley's Wand                                                   ,                                  ,
Challenges,Wands of Dumbledore's Army II     ,Fred Weasley's Wand                                                  ,                                  ,
Challenges,Wands of Dumbledore's Army II     ,George Weasley's Wand                                                ,                                  ,
Challenges,Wands of Dumbledore's Army II     ,Hermione Granger's Wand                                              ,                                  ,
Challenges,Wands of Dumbledore's Army II     ,Luna Lovegood's Wand                                                 ,                                  ,
Challenges,Wands of Dumbledore's Army II     ,Neville Longbottom's Wand                                            ,                                  ,
